,location,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,d_Sontek,td_Sontek,d_streamPro,td_streamPro
1a,11.15,0.04,0.05,0.03,0.02,,,,,,,,0.15,0.26,0.2425,0.4325
1b,10.91,0.03,0.05,0.06,0.05,,,,,,,,0.1875,0.2975,0.2675,0.4575
1c,10.67,0.08,0.08,0.07,0.06,0.04,,,,,,,0.4,0.51,0.4425,0.6325
2,7.32,0.27,0.28,0.28,0.28,0.24,0.2,,,,,,0.35,0.46,0.4925,0.6825
3,5.32,0.44,0.41,0.39,0.39,0.33,0.3,0.25,,,,,0.2875,0.3975,0.505,0.695
4,3.32,0.43,0.44,0.41,0.34,0.3,0.23,0.2,,,,,0.2875,0.3975,0.505,0.695
4b,0.47,0.15,0.09,0.14,0.08,,,,,,,,0.125,0.235,0.25,0.44
5a,0.23,0.07,0.05,,,,,,,,,,0.0625,0.1725,0.125,0.315
5b,0,0.1,0.09,0.08,0.01,,,,,,,,0.05,0.16,0.1,0.29
5c,-0.25,0.07,0.04,0.07,0.01,,,,,,,,0.05,0.16,0.1,0.29
5d,-0.48,0.1,0.02,0.01,,,,,,,,,0.05,0.16,0.1,0.29
