,location,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,d_Sontek,td_Sontek,d_streamPro,td_streamPro
1a,11.14,0.05,0.07,0.05,0.04,,,,,,,,0.183333333,0.313333333,0.25875,0.44875
1b,10.9,0.04,0.06,0.05,0.05,0.01,,,,,,,0.183333333,0.313333333,0.28375,0.47375
1c,10.66,0.06,0.08,0.06,0.04,0.03,,,,,,,0.383333333,0.513333333,0.4025,0.5925
2,7.33,0.32,0.29,0.26,0.25,0.24,0.14,0.07,,,,,0.316666667,0.446666667,0.54625,0.73625
3,5.33,0.44,0.47,0.4,0.41,0.35,0.33,0.3,0.2,,,,0.25,0.38,0.55875,0.74875
4,3.33,0.47,0.43,0.42,0.36,0.3,0.28,0.28,0.16,,,,0.25,0.38,0.55875,0.74875
4b,0.48,0.1,0.09,0.09,0.19,0,,,,,,,0.1,0.23,0.2,0.39
5a,0.24,0.18,0.16,0.08,0.06,0,,,,,,,0.066666667,0.196666667,0.15,0.34
5b,0,0.1,0.12,0.1,0.05,,,,,,,,0.05,0.18,0.1,0.29
5c,-0.25,0.07,0.07,0.07,,,,,,,,,0.05,0.18,0.1,0.29
5d,-0.49,0.04,0.08,0.01,0,,,,,,,,0.05,0.18,0.1,0.29
