,,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1
1a,11.63,0.314,0.04,0.05,0.03,0.02,,,,,,
1b,11.39,0.35,0.03,0.05,0.06,0.05,,,,,,
1c,11.15,0.411,0.08,0.08,0.07,0.06,0.04,,,,,
2,7.8,0.55,0.27,0.28,0.28,0.28,0.24,0.2,,,,
3,5.8,0.695,0.44,0.41,0.39,0.39,0.33,0.3,0.25,,,
4,3.8,0.73,0.43,0.44,0.41,0.34,0.3,0.23,0.2,,,
4b,0.95,0.464,0.15,0.09,0.14,0.08,,,,,,
5a,0.71,0.42,0.07,0.05,,,,,,,,
5b,0.48,0.35,0.1,0.09,0.08,0.01,,,,,,
5c,0.23,0.34,0.07,0.04,0.07,0.01,,,,,,
5d,0,0.225,0.1,0.02,0.01,,,,,,,
