,,Left side(m3/s),Top(m3/s),Middle(m3/s),Right side(m3/s)
Mon morning,1,-0.0016625000000000001,0.5205132245299999,0.9732859550999999,6.199019913866516e-05
Mon morning,2,-0.0016625000000000001,0.521711400516,0.9720247172199998,0.00013241993962515535
Mon morning,3,-0.0016625000000000001,0.5218788905035,0.9718484119699999,0.00015742137870350257
Mon morning,4,-0.0016625000000000001,0.522093898674,0.9716220875799999,0.00020778117018623466
Mon afternoon,1,-0.0018375000000000002,0.6430748709600002,1.0234467584,0.00023514251235857858
Mon afternoon,2,-0.0018375000000000002,0.6440160758790001,1.02394212941,0.0001860108526323705
Mon afternoon,3,-0.0018375000000000002,0.6411159683570001,1.02241575703,0.000522229058830856
Mon afternoon,4,-0.0018375000000000002,0.6409312445240002,1.02231853396,0.0005901766027871645
Tue morning,1,0.0125510625,0.608355535524,1.145623399934875,0.002111570010018696
Tue morning,2,0.0125510625,0.609458236776,1.14674967868075,0.0019244006710696713
Tue morning,3,0.0125510625,0.609170640882,1.1464559335324376,0.0019699421905455105
Tue morning,4,0.0125510625,0.60650779833,1.1437361552021874,0.0025227090363257494
Tue morning,5,0.0125510625,0.603916816818,1.1410897744144375,0.0034701602653859605
Tue morning,6,0.0125510625,0.604594768662,1.1417822219393123,0.003159658301310824
Tue morning,7,0.0125510625,0.605412855576,1.14261780084325,0.0028517464991824185
Tue morning,8,0.0125510625,0.606714413982,1.1439471886230623,0.0024689539910776478
Tue afternoon,1,0.009212510416666667,0.5951415935919999,1.1381975349299998,0.0005421371496671875
Tue afternoon,2,0.009212510416666667,0.5729011195854999,1.1224276081856248,0.002656125820262246
Tue afternoon,3,0.009212510416666667,0.5749908919465,1.123909391219375,0.0019438944369792193
Tue afternoon,4,0.009212510416666667,0.583043670886,1.1296193295024999,0.0009560373517986307
Wed morning,1,0.04902583333333333,0.42909320545150004,1.0567386602255668,0.0006182287259117126
Wed morning,2,0.04902583333333333,0.42789836252150004,1.0511417643955667,0.0009145194933392822
Wed morning,3,0.04902583333333333,0.4281419193795,1.0522826359935669,0.0008331295029933666
Wed morning,4,0.04902583333333333,0.42783068297300003,1.0508247391420669,0.0009400383458875322
Wed morning,5,0.04902583333333333,0.42787673355800004,1.0510404497770667,0.00092252282748142
Wed morning,6,0.04902583333333333,0.428390565245,1.053447345574067,0.0007637384372785059
Wed afternoon,1,0.035410000000000004,0.631839801125,1.4933333583333332,0.016027568079392755
Wed afternoon,2,0.035410000000000004,0.631964513933,1.4934527007333331,0.015896685339934727
Wed afternoon,3,0.035410000000000004,0.642294657658,1.5033380057333332,0.009482575775176487
Wed afternoon,4,0.035410000000000004,0.6337208545245,1.4951334094333333,0.014257067507650363
Wed afternoon,5,0.035410000000000004,0.5791450398625001,1.4123442854266666,0.018193899377083347
