Distancetravelled;depthbin;totalwidth;binsize;blank;eastV;northV;topQ;middleQ;LeftQ;RightQ
0.00000000;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;0.00000000;0.05000000;0.05000000;-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.00000000;0.00000000;0.00000000;0.00000000
0.09760902;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.48760902;0.05000000;0.05000000;-0.390,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;-0.142,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.00605853;0.00176346;0.00000000;0.00000000
0.23031094;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.61979056;0.05000000;0.05000000;0.019,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.040,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.00514492;0.00149293;0.00000000;0.00000000
0.31468839;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.70361361;0.05000000;0.05000000;-0.200,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;-0.166,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.00872004;0.00256091;0.00000000;0.00000000
0.43372153;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.82244983;0.05000000;0.05000000;-32768,-0.079,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;-32768,0.072,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.00855358;0.00252400;0.00000000;0.00000000
0.55173425;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.94040567;0.05000000;0.05000000;-0.214,0.109,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;-0.188,-0.410,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.01376693;0.00562835;0.00000000;0.00000000
0.59808921;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.96839137;0.05000000;0.05000000;0.047,0.083,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.218,0.096,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.01339629;0.00540746;0.00000000;0.00000000
0.63906098;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.99857909;0.05000000;0.05000000;-0.034,-0.123,0.050,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.032,0.002,0.346,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.01252366;0.00463599;0.00000000;0.00000000
0.70525437;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.94668171;0.05000000;0.05000000;-0.323,-0.299,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.092,-0.241,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.01132916;0.00392650;0.00000000;0.00000000
0.82810395;0.180,0.230,0.280,0.330,0.380,0.430,0.480,0.530,0.580,0.630,0.680,0.730,0.780,0.830,0.880,0.930,0.980,1.030,1.080,1.130,1.180,1.230,1.280,1.330,1.380,1.430,1.480,1.530,1.580,1.63000000;1.83485764;0.05000000;0.05000000;0.063,-32768,0.020,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.055,-32768,0.165,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768;0.01381539;0.00609456;0.00000000;0.00000000
